Feature,Coefficient,Standard Error,Year
Intercept,6.560562387260973,0.10615169570326005,1990
ln_export_area,-0.08482749878495144,0.1272757341221686,1990
abs_latitude,0.20616162543214123,0.1598552252306945,1990
rain_min,0.20051380917111167,0.10908019399114316,1990
region_n,0.13753755014452934,0.18651463463365708,1990
ln_avg_oil_pop,0.39439019383277013,0.12190232776015668,1990
ln_pop_dens_1400,-0.4958958763840703,0.11850252807954455,1990
Intercept,6.652363059740931,0.1009595456097998,1991
ln_export_area,-0.07874934522084076,0.11977664975194685,1991
region_n,0.30382335626412743,0.13625337258662554,1991
ln_avg_oil_pop,0.3071841494757817,0.11093819788928042,1991
ln_avg_all_diamonds_pop,0.15104400459905915,0.10404046652820971,1991
ln_pop_dens_1400,-0.5330886719818018,0.11012400297854075,1991
Intercept,6.529158053977707,0.10623964150555898,1992
ln_export_area,-0.15343804271741873,0.12863687219149594,1992
rain_min,0.10686965081477855,0.10963188982546197,1992
humid_max,0.1668544704808084,0.13072039805669375,1992
region_n,0.3609420811564113,0.14504548936495806,1992
ln_avg_oil_pop,0.2661002413521905,0.11780552797831842,1992
ln_pop_dens_1400,-0.5538635733877998,0.11992768603288201,1992
red_sea_distance_minimum,0.10160509681109038,0.10960770123290878,1992
Intercept,6.492029996522986,0.10863522270794292,1993
ln_export_area,-0.1576912448356353,0.1417559849813162,1993
rain_min,0.11288354438967227,0.1161054672490803,1993
humid_max,0.1644519704250239,0.1529414139133562,1993
ln_coastline_area,-0.0012093638386916168,0.13695264272589128,1993
region_n,0.3994134649691105,0.20955319052213725,1993
ln_avg_oil_pop,0.3015969518708463,0.12544790600250172,1993
ln_pop_dens_1400,-0.5424599102054208,0.13575645149052615,1993
indian_distance_minimum,-0.10733971583340696,0.2046000483750164,1993
red_sea_distance_minimum,0.18119516774726818,0.14376277524550898,1993
Intercept,6.3052034391758305,0.11167614135861328,1994
ln_export_area,-0.2564501717953373,0.1409690585760451,1994
abs_latitude,0.044877654257709086,0.22407319124515535,1994
rain_min,0.0321662182947822,0.1286674507575072,1994
humid_max,0.18713351738690048,0.16429386098913945,1994
ln_coastline_area,0.15828432423522465,0.14234162649073528,1994
legor_fr,-0.29597420929273477,0.1287507222550014,1994
region_n,0.25840864733612373,0.21224624411053913,1994
region_c,-0.24153925433465387,0.19464603646843873,1994
ln_avg_oil_pop,0.47969324971291555,0.1734075728627672,1994
ln_pop_dens_1400,-0.5780622083104159,0.14262716567472747,1994
red_sea_distance_minimum,0.09545617737775018,0.12618182849403073,1994
Intercept,6.4259060540452655,0.10991824296475304,1995
ln_export_area,-0.31203189389226405,0.14532816570230342,1995
rain_min,0.034499562839907974,0.12377399233328623,1995
humid_max,0.195151301967671,0.15913028068448465,1995
ln_coastline_area,0.14029791967438754,0.1374303436324199,1995
legor_fr,-0.26143177876788193,0.12682578570176642,1995
region_n,0.20411515800734098,0.22980711821937028,1995
region_c,-0.311712539039259,0.16925797252406213,1995
ln_avg_oil_pop,0.56243953773011,0.17292256962264752,1995
ln_pop_dens_1400,-0.5139979846886594,0.13763620553347305,1995
indian_distance_minimum,-0.03403365429895289,0.2066343191484988,1995
red_sea_distance_minimum,0.1391768759635837,0.1466063463038906,1995
Intercept,6.49697843355498,0.10241695272500789,1996
ln_export_area,-0.28249442535796254,0.1244266247518752,1996
rain_min,0.04558212195076407,0.11401244735521232,1996
humid_max,0.23931817607555406,0.14013429711131853,1996
ln_coastline_area,0.14006706810608846,0.12743374798651286,1996
legor_fr,-0.2820864871766317,0.11712651049159167,1996
region_n,0.20532323202536867,0.1667423007994078,1996
region_c,-0.2961505680515209,0.15772557876312962,1996
ln_avg_oil_pop,0.5637834838599601,0.15750318813292385,1996
ln_pop_dens_1400,-0.5213925122369174,0.12747389659394454,1996
red_sea_distance_minimum,0.13352242517351645,0.10395358024401023,1996
Intercept,6.509119347692064,0.09952954960979439,1997
ln_export_area,-0.3081379275198138,0.12500113717443945,1997
rain_min,0.034860863487408196,0.11083526728387663,1997
humid_max,0.2695316819521073,0.1394834415713207,1997
ln_coastline_area,0.17145091624947087,0.14369881730594974,1997
legor_fr,-0.2791355817740997,0.1215569177848373,1997
region_n,0.17539773567672037,0.1617710230571848,1997
region_s,0.11233554120235277,0.14261518174873802,1997
region_c,-0.2798685315394206,0.15373839602667436,1997
ln_avg_gold_pop,-0.035662850492051784,0.10992893035293208,1997
ln_avg_oil_pop,0.6053951089136749,0.15280737661083968,1997
ln_pop_dens_1400,-0.4644432197644701,0.12707420142255196,1997
red_sea_distance_minimum,0.083614812586264,0.10345484002250119,1997
Intercept,6.478131034479993,0.10032405552423704,1998
ln_export_area,-0.32087937196466926,0.12188395844794991,1998
rain_min,0.0640236493645464,0.11168259545497601,1998
humid_max,0.20455852725328966,0.1372706434841329,1998
ln_coastline_area,0.17389340868518482,0.12482963092045617,1998
legor_fr,-0.13593745584142877,0.05736651125263048,1998
legor_uk,0.1359374558414292,0.057366511252630495,1998
region_n,0.18737779818375963,0.1633349108575282,1998
region_c,-0.30301949259420563,0.1545024461322492,1998
ln_avg_oil_pop,0.5706620432003985,0.15428460006927633,1998
ln_pop_dens_1400,-0.45747531646406586,0.1248689590884403,1998
red_sea_distance_minimum,0.1073450416744175,0.10182928195828636,1998
Intercept,6.471790960016676,0.10129833976032127,1999
ln_export_area,-0.34452499991437163,0.12306761892426225,1999
rain_min,0.016714842237204743,0.11276718669910173,1999
humid_max,0.22307797497287854,0.13860372978457078,1999
ln_coastline_area,0.17087773712098422,0.12604189791830134,1999
legor_fr,-0.2229195155961902,0.1158472375816059,1999
region_n,0.22158496618379464,0.16492111695754222,1999
region_c,-0.2769326710620733,0.15600287688055295,1999
ln_avg_oil_pop,0.5247966816385776,0.1557829152333969,1999
ln_pop_dens_1400,-0.4981118132175304,0.1260816080167597,1999
red_sea_distance_minimum,0.11551831470044835,0.10281818400840101,1999
Intercept,6.48968629144373,0.09924006382985044,2000
ln_export_area,-0.3213693601615863,0.11692917700818035,2000
ln_coastline_area,0.12356541475705327,0.11670286488709196,2000
region_n,0.1992816188485653,0.1302828273993403,2000
ln_avg_gold_pop,-0.06241103581618558,0.10982925959803355,2000
ln_avg_oil_pop,0.44585953555316005,0.10509961388416766,2000
ln_pop_dens_1400,-0.4433773717025995,0.11383581449925102,2000
Intercept,6.416468068266352,0.09945188828916324,2001
ln_export_area,-0.4010146826636994,0.1195530891783174,2001
ln_coastline_area,0.20728973457575894,0.11729707595750179,2001
legor_fr,-0.12605630302040832,0.10981662836891389,2001
region_n,0.058575770701691274,0.14915553250380717,2001
region_c,-0.2924110346669903,0.14430564220940992,2001
ln_avg_gold_pop,-0.048600024780735974,0.11019452412925185,2001
ln_avg_oil_pop,0.6810271509036498,0.1472593991365703,2001
ln_pop_dens_1400,-0.3845005875346617,0.114279093068486,2001
red_sea_distance_minimum,0.09712313293714071,0.09712993154901611,2001
Intercept,6.492003820246125,0.1056029992056454,2002
ln_export_area,-0.30015119480980085,0.12442627816002534,2002
ln_coastline_area,0.154410575370644,0.12418545567542373,2002
region_n,0.1262804021063365,0.13863611919829721,2002
ln_avg_gold_pop,-0.08874495971866339,0.11687113819246765,2002
ln_avg_oil_pop,0.4500578359667787,0.11183824368102609,2002
ln_pop_dens_1400,-0.3674086007386611,0.12113457976759666,2002
Intercept,6.610218973970494,0.11042515652732986,2003
ln_export_area,-0.33884444544974884,0.13065575735103133,2003
abs_latitude,0.10955960253985722,0.1790859191744584,2003
ln_coastline_area,0.1752165577438763,0.14072756243484974,2003
region_n,0.028307228252295875,0.2064077095088085,2003
ln_avg_gold_pop,-0.1049455086623298,0.12205238730345379,2003
ln_avg_oil_pop,0.5264582770080019,0.12534534536875166,2003
ln_pop_dens_1400,-0.3623921568370306,0.13390906076952125,2003
red_sea_distance_minimum,0.10990327238479597,0.11330316876599687,2003
Intercept,6.747000622260792,0.11101036171874286,2004
ln_export_area,-0.3572514490128829,0.12836647556344136,2004
abs_latitude,0.1173215182265746,0.12777585071377903,2004
ln_coastline_area,0.1829317818491789,0.1353895764544869,2004
ln_avg_gold_pop,-0.1348494906009885,0.12386148724075136,2004
ln_avg_oil_pop,0.5796491933700456,0.10857852884559056,2004
ln_pop_dens_1400,-0.34104736192485957,0.12487221574750415,2004
red_sea_distance_minimum,0.137134711812613,0.11345564769200141,2004
Intercept,6.865169445976368,0.11165881572424939,2005
ln_export_area,-0.3635893297185959,0.12911631327194975,2005
abs_latitude,0.09779876914948656,0.1285222383565135,2005
ln_coastline_area,0.17315621996090266,0.13618043878298,2005
ln_avg_gold_pop,-0.13229015130021504,0.12458500958844676,2005
ln_avg_oil_pop,0.6451323737362137,0.10921277758464355,2005
ln_pop_dens_1400,-0.3471753726601062,0.12560164214720457,2005
red_sea_distance_minimum,0.1194704439705206,0.11411838554866757,2005
Intercept,6.959752805352623,0.10738804912873108,2006
ln_export_area,-0.3570164039456454,0.12392680119530367,2006
abs_latitude,0.11362733557650627,0.11986945325502706,2006
ln_coastline_area,0.24624433224524014,0.13172518983013165,2006
legor_fr,-0.12082580579607506,0.05706548465876743,2006
legor_uk,0.12082580579607488,0.05706548465876745,2006
ln_avg_gold_pop,-0.12141549877644461,0.1199977231738407,2006
ln_avg_oil_pop,0.724632804774826,0.10832957306674573,2006
ln_pop_dens_1400,-0.36153911174979547,0.12019979970258204,2006
Intercept,7.086523038780091,0.11309762353327348,2007
ln_export_area,-0.328788814901837,0.12231324885338679,2007
ln_coastline_area,0.20969255412758211,0.13403173686820602,2007
ln_avg_gold_pop,-0.11331033661844617,0.1259281985126022,2007
ln_avg_oil_pop,0.6627620133899123,0.11053709844353637,2007
ln_pop_dens_1400,-0.3445700077391675,0.12644880696902377,2007
Intercept,7.225546051313351,0.10909632453639069,2008
ln_export_area,-0.3209296626459867,0.11846206180710361,2008
ln_coastline_area,0.22763110654656094,0.12929718490721953,2008
ln_avg_gold_pop,-0.14271664331786466,0.12160552221271353,2008
ln_avg_oil_pop,0.6939096376693134,0.10681690185203056,2008
ln_pop_dens_1400,-0.3086400330608573,0.12278861557634035,2008
red_sea_distance_minimum,0.13027135758082725,0.10809571160966638,2008
Intercept,7.188463444491508,0.10329564226800475,2009
ln_export_area,-0.3355854105611873,0.11171256480450997,2009
ln_coastline_area,0.20122459442868865,0.1224154311255211,2009
ln_avg_gold_pop,-0.09635393433062682,0.11501421284228065,2009
ln_avg_oil_pop,0.5986184302826782,0.10095703359149334,2009
ln_pop_dens_1400,-0.30193686456977986,0.11548970103731246,2009
Intercept,7.266979885303995,0.10849604793027426,2010
ln_export_area,-0.34698683070670094,0.11733671933610892,2010
ln_coastline_area,0.15541355463865664,0.1285784200686811,2010
ln_avg_gold_pop,-0.08214948278985106,0.1208045884145107,2010
ln_avg_oil_pop,0.6328264810724206,0.1060397023043995,2010
ln_pop_dens_1400,-0.33044508639947,0.12130401500081915,2010
Intercept,7.359994188782748,0.10866769503629359,2011
ln_export_area,-0.35505653458951586,0.11493004933175989,2011
ln_coastline_area,0.18007748763201642,0.11884723153537227,2011
ln_avg_oil_pop,0.6205663090789201,0.10652832397760027,2011
ln_pop_dens_1400,-0.3361336339317199,0.12128038386637954,2011
Intercept,7.388431510564468,0.10375182937601027,2012
ln_export_area,-0.348285501299146,0.10973088979629748,2012
ln_coastline_area,0.19570327284185873,0.11347086808044347,2012
ln_avg_oil_pop,0.6548207092275646,0.10170923832832687,2012
ln_pop_dens_1400,-0.3365617074618295,0.11579395044092047,2012
Intercept,7.391908543319301,0.10003860116996231,2013
ln_export_area,-0.3704046557554607,0.10636206621516218,2013
ln_coastline_area,0.21665223286320925,0.10941318217366283,2013
ln_avg_oil_pop,0.6648376703252823,0.09824833872058837,2013
ln_pop_dens_1400,-0.29631352552260565,0.11246139524023223,2013
red_sea_distance_minimum,0.16830658667174436,0.09932237820875753,2013
Intercept,7.406306562545895,0.09894867484018834,2014
ln_export_area,-0.37170830364302176,0.1052032453689959,2014
ln_coastline_area,0.21497107943293794,0.10822111924314638,2014
ln_avg_oil_pop,0.6409816123575363,0.0971779174034591,2014
ln_pop_dens_1400,-0.28883336073695387,0.11123612185254064,2014
red_sea_distance_minimum,0.140940393431286,0.09824025516945618,2014
Intercept,7.306726645946286,0.09741263607325754,2015
ln_export_area,-0.3642399509893044,0.10302637840709757,2015
ln_coastline_area,0.205859828095458,0.10653784558513692,2015
ln_avg_oil_pop,0.5514878928132806,0.09549484648273988,2015
ln_pop_dens_1400,-0.27395095416239895,0.10871898858676263,2015
Intercept,7.278876729481297,0.100538170370711,2016
ln_export_area,-0.37269347839907163,0.10633203250120953,2016
ln_coastline_area,0.2219231657784523,0.10995616690130301,2016
ln_avg_oil_pop,0.5059972286107095,0.09855884751939589,2016
ln_pop_dens_1400,-0.2871404214212275,0.11220729299274168,2016
Intercept,7.329087038415613,0.10177588823821934,2017
ln_export_area,-0.35990137014113033,0.10764107817043096,2017
ln_coastline_area,0.2206462628202566,0.1113098290170413,2017
ln_avg_oil_pop,0.5271533197717565,0.09977219809187982,2017
ln_pop_dens_1400,-0.31738179422746604,0.11358866855278787,2017
Intercept,7.377473361609132,0.10032228631035031,2018
ln_export_area,-0.38926625105099777,0.10666368316435305,2018
ln_coastline_area,0.1983799676643,0.10972345134558477,2018
ln_avg_oil_pop,0.5277489477863354,0.098526947112118,2018
ln_pop_dens_1400,-0.3252226789968998,0.11278030840298979,2018
red_sea_distance_minimum,0.13445571105281567,0.09960403231503547,2018
Intercept,7.353608760555328,0.09989918894011793,2019
ln_export_area,-0.3558919837420265,0.10565622754081526,2019
ln_coastline_area,0.2332305716059665,0.10925732835500704,2019
ln_avg_oil_pop,0.49550671585883344,0.09793244589349269,2019
ln_pop_dens_1400,-0.3283777078467958,0.11149414716628486,2019
Intercept,7.281192114609868,0.09852983397857157,2020
ln_export_area,-0.340212998985835,0.10420795873166594,2020
ln_coastline_area,0.23702781815508256,0.10775969793122142,2020
ln_avg_oil_pop,0.43605712263602686,0.09659004980295977,2020
ln_pop_dens_1400,-0.28456831671907284,0.109965855843549,2020
Intercept,7.377377457589458,0.09956098257902403,2021
ln_export_area,-0.3525895943016784,0.10585425723342061,2021
ln_coastline_area,0.2211072270541552,0.10889080611793336,2021
ln_avg_oil_pop,0.4605575519227003,0.0977792674565667,2021
ln_pop_dens_1400,-0.2815554595488004,0.1119244659699165,2021
red_sea_distance_minimum,0.13049727580357284,0.09884817911186983,2021
